"Species";"TBP";"Mean";"CI95"
"Tephroseris";"X13.TY.21";2,34;3,11738414039526
"Tephroseris";"X13.TY.23";124,87;19,1668954126008
"Tephroseris";"X13.TY.19";0;0
"Tephroseris";"X13.TY.22";33,35;11,8598037696475
"Tephroseris";"X13.TY.24";0,32;1,07462004560879
"Tephroseris";"X13.TY.18";0;0
"Stellaria.longifolia";"X13.TY.1";0;0
"Stellaria.longifolia";"X13.TY.2";0;0
"Stellaria.longifolia";"X13.TY.5";0;0
"Stellaria.longifolia";"X13.TY.03";0;0
"Stellaria.longifolia";"X13.TY.4";0;0
"Stellaria.longifolia";"X13.TY.6";0;0
"Stellaria.longifolia";"X13.TY.8";0;0
"Stellaria.longifolia";"X13.TY.12";0;0
"Stellaria.longifolia";"X13.TY.11";0;0
"Stellaria.longifolia";"X13.TY.10";0;0
"Stellaria.longifolia";"X13.TY.09";0,01;0,196
"Stellaria.longifolia";"X13.TY.15";0;0
"Stellaria.longifolia";"X13.TY.13";0;0
"Stellaria.longifolia";"X13.TY.14";0;0
"Stellaria.longifolia";"X13.TY.16";0;0
"Stellaria.longifolia";"X13.TY.28";0;0
"Stellaria.longifolia";"X13.TY.27";0;0
"Stellaria.longifolia";"X13.TY.26";0;0
"Stellaria.longifolia";"X13.TY.29";0;0
"Stellaria.longifolia";"X13.TY.30";0;0
"Stellaria.longifolia";"X13.TY.31";0;0
"Stellaria.longifolia";"X13.TY.32";0;0
"Stellaria.longifolia";"X13.TY.25";0;0
"Stellaria.longifolia";"X13.TY.17";0;0
"Stellaria.longifolia";"X13.TY.20";0;0
"Stellaria.longifolia";"X13.TY.21";0;0
"Stellaria.longifolia";"X13.TY.23";0,08;0,53441345171481
"Stellaria.longifolia";"X13.TY.19";0;0
"Stellaria.longifolia";"X13.TY.22";0,08;0,602665593992073
"Stellaria.longifolia";"X13.TY.24";0;0
"Stellaria.longifolia";"X13.TY.18";0;0
"Stellaria.borealis";"X13.TY.1";0;0
"Stellaria.borealis";"X13.TY.2";0;0
"Stellaria.borealis";"X13.TY.5";0;0
"Stellaria.borealis";"X13.TY.03";0;0
"Stellaria.borealis";"X13.TY.4";0;0
"Stellaria.borealis";"X13.TY.6";0;0
"Stellaria.borealis";"X13.TY.8";0;0
"Stellaria.borealis";"X13.TY.12";0;0
"Stellaria.borealis";"X13.TY.11";0;0
"Stellaria.borealis";"X13.TY.10";0;0
"Stellaria.borealis";"X13.TY.09";0,05;0,429324110572877
"Stellaria.borealis";"X13.TY.15";0,09;0,563742042878736
"Stellaria.borealis";"X13.TY.13";0;0
"Stellaria.borealis";"X13.TY.14";0;0
"Stellaria.borealis";"X13.TY.16";0;0
"Stellaria.borealis";"X13.TY.28";0;0
"Stellaria.borealis";"X13.TY.27";0;0
"Stellaria.borealis";"X13.TY.26";0;0
"Stellaria.borealis";"X13.TY.29";0;0
"Stellaria.borealis";"X13.TY.30";0;0
"Stellaria.borealis";"X13.TY.31";0;0
"Stellaria.borealis";"X13.TY.32";0,01;0,196
"Stellaria.borealis";"X13.TY.25";0;0
"Stellaria.borealis";"X13.TY.17";0;0
"Stellaria.borealis";"X13.TY.20";0;0
"Stellaria.borealis";"X13.TY.21";0;0
"Stellaria.borealis";"X13.TY.23";0,1;0,590962235372417
"Stellaria.borealis";"X13.TY.19";0;0
"Stellaria.borealis";"X13.TY.22";0,13;0,770772248193887
"Stellaria.borealis";"X13.TY.24";0;0
"Stellaria.borealis";"X13.TY.18";0;0
"Stellaria";"X13.TY.1";0,24;1,0090678967255
"Stellaria";"X13.TY.2";0;0
"Stellaria";"X13.TY.5";0;0
"Stellaria";"X13.TY.03";0;0
"Stellaria";"X13.TY.4";0;0
"Stellaria";"X13.TY.6";0;0
"Stellaria";"X13.TY.8";0;0
"Stellaria";"X13.TY.12";0;0
"Stellaria";"X13.TY.11";0;0
"Stellaria";"X13.TY.10";0;0
"Stellaria";"X13.TY.09";0,51;1,46076493037661
"Stellaria";"X13.TY.15";1,08;2,11575851670508
"Stellaria";"X13.TY.13";0;0
"Stellaria";"X13.TY.14";0;0
"Stellaria";"X13.TY.16";0,26;0,949634613411863
"Stellaria";"X13.TY.28";0;0
"Stellaria";"X13.TY.27";0;0
"Stellaria";"X13.TY.26";0;0
"Stellaria";"X13.TY.29";0;0
"Stellaria";"X13.TY.30";0;0
"Stellaria";"X13.TY.31";0,18;0,897536561254125
"Stellaria";"X13.TY.32";0,23;0,917842969778446
"Stellaria";"X13.TY.25";0;0
"Stellaria";"X13.TY.17";0;0
"Stellaria";"X13.TY.20";0;0
"Stellaria";"X13.TY.21";0;0
"Stellaria";"X13.TY.23";1,49;2,21984798824358
"Stellaria";"X13.TY.19";0;0
"Stellaria";"X13.TY.22";1,8;2,47609337138937
"Stellaria";"X13.TY.24";0;0
"Stellaria";"X13.TY.18";0;0
"Sium.suave";"X13.TY.1";0;0
"Sium.suave";"X13.TY.2";0;0
"Sium.suave";"X13.TY.5";0;0
"Sium.suave";"X13.TY.03";0;0
"Sium.suave";"X13.TY.4";0;0
"Sium.suave";"X13.TY.6";0;0
"Sium.suave";"X13.TY.8";0;0
"Sium.suave";"X13.TY.12";0;0
"Sium.suave";"X13.TY.11";0;0
"Sium.suave";"X13.TY.10";0;0
"Sium.suave";"X13.TY.09";0;0
"Sium.suave";"X13.TY.15";0;0
"Sium.suave";"X13.TY.13";0;0
"Sium.suave";"X13.TY.14";0;0
"Sium.suave";"X13.TY.16";0;0
"Sium.suave";"X13.TY.28";0;0
"Sium.suave";"X13.TY.27";0;0
"Sium.suave";"X13.TY.26";0;0
"Sium.suave";"X13.TY.29";0;0
"Sium.suave";"X13.TY.30";0;0
"Sium.suave";"X13.TY.31";0;0
"Sium.suave";"X13.TY.32";0;0
"Sium.suave";"X13.TY.25";0;0
"Sium.suave";"X13.TY.17";0;0
"Sium.suave";"X13.TY.20";2,3;2,75077950384757
"Sium.suave";"X13.TY.21";0;0
"Sium.suave";"X13.TY.23";0;0
"Sium.suave";"X13.TY.19";0;0
"Sium.suave";"X13.TY.22";2,79;3,25232122855928
"Sium.suave";"X13.TY.24";0;0
"Sium.suave";"X13.TY.18";0;0
"Silene";"X13.TY.1";0,9;2,1488789654331
"Silene";"X13.TY.2";0;0
"Silene";"X13.TY.5";0;0
"Silene";"X13.TY.03";0;0
"Silene";"X13.TY.4";0;0
"Silene";"X13.TY.6";0;0
"Silene";"X13.TY.8";0;0
"Silene";"X13.TY.12";0;0
"Silene";"X13.TY.11";0;0
"Silene";"X13.TY.10";0;0
"Silene";"X13.TY.09";0,08;0,53441345171481
"Silene";"X13.TY.15";0;0
"Silene";"X13.TY.13";0;0
"Silene";"X13.TY.14";0;0
"Silene";"X13.TY.16";0,34;1,12196393467307
"Silene";"X13.TY.28";0;0
"Silene";"X13.TY.27";0;0
"Silene";"X13.TY.26";0;0
"Silene";"X13.TY.29";0;0
"Silene";"X13.TY.30";0;0
"Silene";"X13.TY.31";0;0
"Silene";"X13.TY.32";0;0
"Silene";"X13.TY.25";0;0
"Silene";"X13.TY.17";0;0
"Silene";"X13.TY.20";0;0
"Silene";"X13.TY.21";0;0
"Silene";"X13.TY.23";0;0
"Silene";"X13.TY.19";0;0
"Silene";"X13.TY.22";0;0
"Silene";"X13.TY.24";0;0
"Silene";"X13.TY.18";0;0
"Senecioninae";"X13.TY.1";0,3;1,09677949129497
"Senecioninae";"X13.TY.2";0,01;0,196
"Senecioninae";"X13.TY.5";0,04;0,386014915711187
"Senecioninae";"X13.TY.03";0,01;0,196
"Senecioninae";"X13.TY.4";0;0
"Senecioninae";"X13.TY.6";0,05;0,429324110572877
"Senecioninae";"X13.TY.8";0;0
"Senecioninae";"X13.TY.12";0;0
"Senecioninae";"X13.TY.11";0;0
"Senecioninae";"X13.TY.10";0;0
"Senecioninae";"X13.TY.09";0,83;1,89056609554286
"Senecioninae";"X13.TY.15";0;0
"Senecioninae";"X13.TY.13";0,12;0,640133319447337
"Senecioninae";"X13.TY.14";0,71;1,79020269717418
"Senecioninae";"X13.TY.16";0,77;1,62093231683423
"Senecioninae";"X13.TY.28";0,05;0,429324110572877
"Senecioninae";"X13.TY.27";0;0
"Senecioninae";"X13.TY.26";0;0
"Senecioninae";"X13.TY.29";0;0
"Senecioninae";"X13.TY.30";0,5;1,26133487090687
"Senecioninae";"X13.TY.31";0;0
"Senecioninae";"X13.TY.32";0;0
"Senecioninae";"X13.TY.25";0;0
"Senecioninae";"X13.TY.17";0,18;0,806446351080912
"Senecioninae";"X13.TY.20";0;0
"Senecioninae";"X13.TY.21";0;0
"Senecioninae";"X13.TY.23";0,07;0,502607503953436
"Senecioninae";"X13.TY.19";0;0
"Senecioninae";"X13.TY.22";0,26;0,949634613411863
"Senecioninae";"X13.TY.24";0,82;1,65703768786045
"Senecioninae";"X13.TY.18";0;0
"Saxifragaceae";"X13.TY.1";0,83;1,80660118409787
"Saxifragaceae";"X13.TY.2";0;0
"Saxifragaceae";"X13.TY.5";0;0
"Saxifragaceae";"X13.TY.03";3,52;3,36012255668742
"Saxifragaceae";"X13.TY.4";0;0
"Saxifragaceae";"X13.TY.6";0,02;0,275782376507128
"Saxifragaceae";"X13.TY.8";0,37;1,17054289398837
"Saxifragaceae";"X13.TY.12";0,17;0,739949329414528
"Saxifragaceae";"X13.TY.11";0;0
"Saxifragaceae";"X13.TY.10";0;0
"Saxifragaceae";"X13.TY.09";1,84;2,5489897067765
"Saxifragaceae";"X13.TY.15";0;0
"Saxifragaceae";"X13.TY.13";0,82;1,91756899971992
"Saxifragaceae";"X13.TY.14";0;0
"Saxifragaceae";"X13.TY.16";0,66;1,74464578906233
"Saxifragaceae";"X13.TY.28";0;0
"Saxifragaceae";"X13.TY.27";2,24;3,27402323162376
"Saxifragaceae";"X13.TY.26";7,23;5,84926580560727
"Saxifragaceae";"X13.TY.29";0;0
"Saxifragaceae";"X13.TY.30";0;0
"Saxifragaceae";"X13.TY.31";0;0
"Saxifragaceae";"X13.TY.32";0,08;0,602665593992073
"Saxifragaceae";"X13.TY.25";0;0
"Saxifragaceae";"X13.TY.17";0;0
"Saxifragaceae";"X13.TY.20";0;0
"Saxifragaceae";"X13.TY.21";0;0
"Saxifragaceae";"X13.TY.23";0;0
"Saxifragaceae";"X13.TY.19";0;0
"Saxifragaceae";"X13.TY.22";0;0
"Saxifragaceae";"X13.TY.24";0;0
"Saxifragaceae";"X13.TY.18";0;0
"Saxifraga.porsildiana";"X13.TY.1";1,26;2,1690094187407
"Saxifraga.porsildiana";"X13.TY.2";0;0
"Saxifraga.porsildiana";"X13.TY.5";0,55;1,48395730832436
"Saxifraga.porsildiana";"X13.TY.03";4,61;4,09331120317777
"Saxifraga.porsildiana";"X13.TY.4";0;0
"Saxifraga.porsildiana";"X13.TY.6";0;0
"Saxifraga.porsildiana";"X13.TY.8";0,3;0,902709725484803
"Saxifraga.porsildiana";"X13.TY.12";0,04;0,386014915711187
"Saxifraga.porsildiana";"X13.TY.11";0;0
"Saxifraga.porsildiana";"X13.TY.10";0;0
"Saxifraga.porsildiana";"X13.TY.09";0,54;1,37665875703942
"Saxifraga.porsildiana";"X13.TY.15";0;0
"Saxifraga.porsildiana";"X13.TY.13";0;0
"Saxifraga.porsildiana";"X13.TY.14";1,17;2,29817709052065
"Saxifraga.porsildiana";"X13.TY.16";0,18;0,806446351080912
"Saxifraga.porsildiana";"X13.TY.28";0,51;1,13143505908616
"Saxifraga.porsildiana";"X13.TY.27";0;0
